cm-1,abs
497.5526,0
498.0348,0
498.5169,0
498.999,0
499.4811,0
499.9633,0
500.4454,0
500.9275,0
501.4096,0
501.8918,0
502.3739,0
502.856,0
503.3381,0
503.8203,0
504.3024,0
504.7845,0
505.2666,0
505.7487,0
506.2309,0
506.713,0
507.1951,0
507.6772,0
508.1594,0
508.6415,0
509.1236,0
509.6057,0
510.0879,0
510.57,0
511.0521,0
511.5342,0
512.0164,0
512.4985,0
512.9807,0
513.4628,0
513.9449,0
514.427,0
514.9091,0
515.3912,0
515.8734,0
516.3555,0
516.8376,0
517.3198,0
517.8019,0
518.284,0
518.7661,0
519.2482,0
519.7303,0
520.2125,0
520.6946,0
521.1768,0
521.6589,0
522.141,0
522.6231,0
523.1052,0
523.5874,0
524.0695,0
524.5516,0
525.0338,0
525.5159,0
525.998,0
526.4801,0
526.9622,0
527.4444,0
527.9265,0
528.4086,0
528.8907,0
529.3729,0
529.855,0
530.3371,0
530.8192,0
531.3014,0
531.7835,0
532.2656,0
532.7477,0
533.2299,0
533.712,0
534.1941,0
534.6763,0
535.1584,0
535.6405,0
536.1226,0
536.6047,0
537.0869,0
537.569,0
538.0511,0
538.5333,0
539.0154,0
539.4975,0
539.9796,0
540.4617,0
540.9438,0
541.426,0
541.9081,0
542.3903,0
542.8724,0
543.3545,0
543.8366,0
544.3187,0
544.8008,0
545.283,0
545.7651,0
546.2473,0
546.7294,0
547.2115,0
547.6936,0
548.1757,0
548.6578,0
549.14,0
549.6221,0
550.1042,0
550.5864,0
551.0685,0
551.5506,0
552.0327,0
552.5148,0
552.9969,0
553.4791,0
553.9612,0
554.4434,0
554.9255,0
555.4076,0
555.8897,0
556.3718,0
556.854,0
557.3361,0
557.8182,0
558.3004,0
558.7825,0
559.2646,0
559.7467,0
560.2288,0
560.711,0
561.1931,0
561.6752,0
562.1573,0
562.6395,0
563.1216,0
563.6037,0
564.0858,0
564.568,0
565.0501,0
565.5322,0
566.0143,0
566.4965,0
566.9786,0
567.4607,0
567.9428,0
568.425,0
568.9071,0
569.3892,0
569.8713,0
570.3535,0
570.8356,0
571.3177,0
571.7999,0
572.282,0
572.7641,0
573.2462,0
573.7283,0
574.2104,0
574.6926,0
575.1747,0
575.6569,0
576.139,0
576.6211,0
577.1032,0
577.5853,0
578.0674,0
578.5496,0
579.0317,0
579.5139,0
579.996,0
580.4781,0
580.9602,0
581.4423,0
581.9244,0
582.4066,0
582.8887,0
583.3708,0
583.853,0
584.3351,0
584.8172,0
585.2993,0
585.7814,0
586.2635,0
586.7457,0
587.2278,0
587.71,0
588.1921,0
588.6742,0
589.1563,0
589.6384,0
590.1205,0
590.6027,0
591.0848,0
591.567,0
592.0491,0
592.5312,0
593.0133,0
593.4954,0
593.9776,0
594.4597,0
594.9418,0
595.424,0
595.9061,0
596.3882,0
596.8703,0
597.3524,0
597.8346,0
598.3167,0
598.7988,0
599.2809,0
599.7631,0
600.2452,0
600.7273,0
601.2094,0
601.6916,0
602.1737,0
602.6558,0
603.1379,0
603.6201,0
604.1022,0
604.5843,0
605.0665,0
605.5486,0
606.0307,0
606.5128,0
606.9949,0
607.4771,0
607.9592,0
608.4413,0
608.9235,0
609.4056,0
609.8877,0
610.3698,0
610.8519,0
611.334,0
611.8162,0
612.2983,0
612.7805,0
613.2626,0
613.7447,0
614.2268,0
614.7089,0
615.191,0
615.6732,0
616.1553,0
616.6375,0
617.1196,0
617.6017,0
618.0838,0
618.5659,0
619.048,0
619.5302,0
620.0123,0
620.4944,0
620.9766,0
621.4587,0
621.9408,0
622.4229,0
622.905,0
623.3871,0
623.8693,0
624.3514,0
624.8336,0
625.3157,0
625.7978,0
626.2799,0
626.762,0
627.2442,0
627.7263,0
628.2084,0
628.6906,0
629.1727,0
629.6548,0
630.1369,0
630.619,0
631.1012,0
631.5833,0
632.0654,0
632.5475,0
633.0297,0
633.5118,0
633.9939,0
634.476,0
634.9582,0
635.4403,0
635.9224,0
636.4045,0
636.8867,0
637.3688,0
637.8509,0
638.3331,0
638.8152,0
639.2973,0
639.7794,0
640.2615,0
640.7437,0
641.2258,0
641.7079,0
642.1901,0
642.6722,0
643.1543,0
643.6364,0
644.1185,0
644.6006,0
645.0828,0
645.5649,0
646.0471,0
646.5292,0
647.0113,0
647.4934,0
647.9755,0
648.4576,0
648.9398,0
649.4219,0
649.9041,0
650.3862,0
650.8683,0
651.3504,0
651.8325,0
652.3146,0
652.7968,0
653.2789,0
653.761,0
654.2432,0
654.7253,0
655.2074,0
655.6895,0
656.1716,0
656.6537,0
657.1359,0
657.618,0
658.1002,0
658.5823,0
659.0644,0
659.5465,0
660.0286,0
660.5108,0
660.9929,0
661.475,0
661.9572,0
662.4393,0
